source,destination,timestamp
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:09
checkoutservice,cartservice,2023-09-25 02:07:09
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:07:09
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:07:09
frontend,shippingservice,2023-09-25 02:07:09
unknown,frontend,2023-09-25 02:07:09
istio-ingressgateway,frontend,2023-09-25 02:07:09
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:07:09
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:07:09
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:14
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:07:14
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:14
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:07:14
frontend,checkoutservice,2023-09-25 02:07:14
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:07:14
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:07:14
frontend,cartservice,2023-09-25 02:07:14
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:07:14
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:07:14
checkoutservice,currencyservice,2023-09-25 02:07:14
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:07:14
frontend,shippingservice,2023-09-25 02:07:14
frontend,adservice,2023-09-25 02:07:14
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:07:14
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:14
checkoutservice,productcatalogservice,2023-09-25 02:07:14
frontend,recommendationservice,2023-09-25 02:07:14
checkoutservice,cartservice,2023-09-25 02:07:14
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:14
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:07:14
frontend,currencyservice,2023-09-25 02:07:14
checkoutservice,shippingservice,2023-09-25 02:07:14
istio-ingressgateway,frontend,2023-09-25 02:07:14
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:14
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:07:14
frontend,productcatalogservice,2023-09-25 02:07:14
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:07:14
checkoutservice,emailservice,2023-09-25 02:07:14
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:14
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:14
unknown,frontend,2023-09-25 02:07:14
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:07:14
cartservice,redis-cart,2023-09-25 02:07:14
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:14
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:07:14
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:07:14
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:14
checkoutservice,paymentservice,2023-09-25 02:07:14
recommendationservice,productcatalogservice,2023-09-25 02:07:14
frontend,adservice,2023-09-25 02:07:19
shippingservice-7b678c856b-qbzf6,dell2018,2023-09-25 02:07:19
cartservice-7c7b67d59c-dslts,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:19
emailservice-54dcbc9c9d-hvjtf,dell2018,2023-09-25 02:07:19
redis-cart-66fc6f5646-j7gr7,dell2018,2023-09-25 02:07:19
frontend,cartservice,2023-09-25 02:07:19
currencyservice-59c949cbfd-ljmcr,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:19
unknown,frontend,2023-09-25 02:07:19
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:19
istio-ingressgateway,frontend,2023-09-25 02:07:19
shippingservice-7b678c856b-ft9xn,dell2018,2023-09-25 02:07:19
frontend,productcatalogservice,2023-09-25 02:07:19
checkoutservice,shippingservice,2023-09-25 02:07:19
productcatalogservice-69864f99f4-pktrx,dell2018,2023-09-25 02:07:19
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:19
recommendationservice,productcatalogservice,2023-09-25 02:07:19
paymentservice-84ff8bdc4-4bqdm,dell2018,2023-09-25 02:07:19
loadgenerator-bb7f95c5-kbjv4,dell2018,2023-09-25 02:07:19
checkoutservice,paymentservice,2023-09-25 02:07:19
frontend,recommendationservice,2023-09-25 02:07:19
frontend,checkoutservice,2023-09-25 02:07:19
frontend,currencyservice,2023-09-25 02:07:19
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:07:19
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:19
adservice-666b8f9776-2b5h4,dell2018,2023-09-25 02:07:19
cartservice,redis-cart,2023-09-25 02:07:19
checkoutservice,cartservice,2023-09-25 02:07:19
checkoutservice-5874d57bf8-nqjbz,dell2018,2023-09-25 02:07:19
paymentservice-84ff8bdc4-l2k78,dell2018,2023-09-25 02:07:19
recommendationservice-57784c5cbb-kp7qj,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:19
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:19
checkoutservice,emailservice,2023-09-25 02:07:19
shippingservice-7b678c856b-7k6vs,dell2018,2023-09-25 02:07:19
checkoutservice,productcatalogservice,2023-09-25 02:07:19
cartservice-7c7b67d59c-s5trb,dell2018,2023-09-25 02:07:19
checkoutservice,currencyservice,2023-09-25 02:07:19
productcatalogservice-69864f99f4-gss9p,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:19
productcatalogservice-69864f99f4-82c8z,dell2018,2023-09-25 02:07:19
productcatalogservice-69864f99f4-gqpj7,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:19
frontend,shippingservice,2023-09-25 02:07:19
recommendationservice-57784c5cbb-c5gql,dell2018,2023-09-25 02:07:24
frontend-69fdd56c8f-m556c,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:24
adservice-666b8f9776-pq46d,izbp1gwb52uyj3g0wn52lez,2023-09-25 02:07:24
checkoutservice,productcatalogservice,2023-09-25 02:07:24
unknown,frontend,2023-09-25 02:07:24
frontend,currencyservice,2023-09-25 02:07:24
checkoutservice,paymentservice,2023-09-25 02:07:24
cartservice-7c7b67d59c-wb8bg,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:24
frontend-69fdd56c8f-brtv5,izbp1gwb52uyj3g0wn52lfz,2023-09-25 02:07:24
